user_name,login_auth_attempts,failed_logins,hosts_accessed,processes_started,privileged_actions,mapped_credentials
Comp000082$,786,0,2,791,22,412
Comp000116$,934,0,4,994,18,482
Comp000253$,245,0,3,423,7,126
Comp000566$,600,0,3,318,18,299
Comp000577$,1072,1,4,1068,41,539
Comp000696$,776,0,4,732,19,412
Comp000739$,1163,0,4,975,51,590
Comp000775$,566,0,2,752,28,276
Comp001022$,877,0,4,1021,24,464
Comp001101$,771,0,2,726,18,395
Comp001884$,1049,0,1,0,0,618
Comp001912$,718,0,2,837,44,351
Comp002121$,951,0,2,1764,36,493
Comp002125$,267,2,4,365,22,128
Comp002286$,1046,1,6,1019,41,542
Comp002352$,860,0,2,802,39,429
Comp002475$,757,1,4,873,36,381
Comp002524$,477,0,4,0,8,261
Comp002779$,399,1,3,530,24,198
Comp002915$,1070,0,2,783,39,552
Comp002930$,824,0,4,0,16,449
Comp003192$,994,0,2,917,21,534
Comp003403$,801,0,2,0,18,426
Comp003448$,424,1,4,518,12,221
Comp003602$,704,0,2,864,18,364
Comp003688$,1219,0,4,6,17,648
Comp003710$,829,0,4,817,44,402
Comp003795$,180,0,2,110,9,93
Comp003969$,889,0,2,821,23,467
Comp004264$,772,0,3,0,17,409
Comp004276$,795,0,3,1166,20,416
Comp004340$,793,1,3,677,40,4
Comp004355$,561,0,2,771,30,269
Comp004416$,850,0,3,803,21,461
Comp004821$,859,0,5,776,37,441
Comp004880$,937,0,5,916,39,483
Comp004902$,1307,3,4,1479,103,614
Comp004903$,824,0,2,0,16,440
Comp004959$,877,1,5,939,24,457
Comp005115$,1024,0,4,888,38,523
Comp005118$,1085,0,4,1824,44,553
Comp005131$,674,0,2,820,18,363
Comp005190$,682,0,2,476,45,303
Comp005295$,992,0,3,981,27,501
Comp005364$,369,0,3,0,8,177
Comp005666$,1071,1,4,1133,43,549
Comp005774$,1001,7,3,909,21,535
Comp005823$,821,0,5,886,62,396
Comp005825$,1571,0,5,8705,57,567
Comp005926$,1058,0,4,1192,29,553
Comp005966$,285,0,5,505,24,127
Comp006069$,729,0,3,0,16,395
Comp006160$,902,0,3,6,17,489
Comp006189$,769,0,2,825,19,407
Comp006508$,14,0,1,0,0,10
Comp006532$,1170,0,2,1060,41,600
Comp006560$,923,0,2,2135,42,475
Comp006588$,644,1,3,388,20,325
Comp006679$,705,0,3,0,12,389
Comp006770$,870,0,2,766,19,451
Comp006850$,894,0,2,801,42,443
Comp007324$,189,0,4,237,11,99
Comp007352$,548,0,1,0,0,296
Comp007371$,927,0,2,826,44,459
Comp007377$,1146,0,4,904,56,580
Comp007589$,479,0,4,690,30,236
Comp007637$,591,0,2,854,38,278
Comp007753$,180,0,3,254,10,95
Comp007792$,831,0,2,6,17,453
Comp008022$,638,0,2,294,19,321
Comp008056$,1056,0,4,870,59,494
Comp008061$,864,0,3,1106,39,432
